City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,current Description
136,Methoni,36.8197,21.7049,88.21,60,0,9.78,GR,2021-08-07 15:06:38,clear sky
137,Quimper,48.0,-4.1,66.76,68,75,16.11,FR,2021-08-07 15:06:38,broken clouds
138,Cherskiy,68.75,161.3,50.45,56,100,5.97,RU,2021-08-07 15:06:39,overcast clouds
139,Belomorsk,64.5232,34.7668,62.06,53,0,9.73,RU,2021-08-07 15:06:39,clear sky
140,Haines Junction,60.7522,-137.5108,54.19,92,63,2.08,CA,2021-08-07 15:06:39,broken clouds
141,Longhua,23.6137,114.1919,79.79,95,100,1.12,CN,2021-08-07 15:06:40,overcast clouds
142,Talnakh,69.4865,88.3972,66.34,47,83,5.03,RU,2021-08-07 15:06:40,broken clouds
143,Zhongxing,33.7039,118.6792,75.4,92,0,5.59,CN,2021-08-07 15:06:40,light rain
144,New Norfolk,-42.7826,147.0587,38.71,82,63,2.62,AU,2021-08-07 15:06:41,broken clouds
145,Labuhan,-6.8844,112.2051,79.92,83,19,11.07,ID,2021-08-07 15:06:41,few clouds
146,Chopinzinho,-25.8558,-52.5233,75.42,42,4,9.15,BR,2021-08-07 15:06:41,clear sky
147,Ambon,-3.6954,128.1814,78.58,84,98,10.98,ID,2021-08-07 15:06:42,overcast clouds
148,Tautira,-17.7333,-149.15,71.62,76,42,5.79,PF,2021-08-07 15:06:42,scattered clouds
149,Kapaa,22.0752,-159.319,79.12,76,40,1.01,US,2021-08-07 15:06:43,light rain
150,Coihaique,-45.5752,-72.0662,39.34,90,82,11.88,CL,2021-08-07 15:02:00,light rain
151,Vypolzovo,57.8767,33.6986,69.66,85,100,3.44,RU,2021-08-07 15:06:43,overcast clouds
152,Cinisi,38.1562,13.1073,90.61,45,0,13.8,IT,2021-08-07 15:06:43,clear sky
153,Liuzhou,24.3126,109.3892,85.3,78,99,5.57,CN,2021-08-07 15:03:45,overcast clouds
154,Brindisi,40.5833,17.6667,89.78,29,2,6.29,IT,2021-08-07 15:06:44,clear sky
